YEAR,MONTH,DAY,HOUR,VALUE
2020,1,1,0,63.0
2020,1,1,1,58.0
2020,1,1,2,56.0
2020,1,1,3,53.0
2020,1,1,4,47.0
2020,1,1,5,48.0
2020,1,1,6,42.0
2020,1,1,7,39.0
2020,1,1,8,39.0
2020,1,1,9,40.0
2020,1,1,10,43.0
2020,1,1,11,49.0
2020,1,1,12,52.0
2020,1,1,13,55.0
2020,1,1,14,60.0
2020,1,1,15,64.0
2020,1,1,16,66.0
2020,1,1,17,70.0
2020,1,1,18,76.0
2020,1,1,19,74.0
2020,1,1,20,83.0
2020,1,1,21,89.0
2020,1,1,22,78.0
2020,1,1,23,68.0
2020,1,2,0,63.0
2020,1,2,1,56.0
2020,1,2,2,44.0
2020,1,2,3,40.0
2020,1,2,4,39.0
2020,1,2,5,37.0
2020,1,2,6,37.0
2020,1,2,7,43.0
2020,1,2,8,52.0
2020,1,2,9,58.0
2020,1,2,10,69.0
2020,1,2,11,74.0
2020,1,2,12,77.0
2020,1,2,13,82.0
2020,1,2,14,69.0
2020,1,2,15,67.0
2020,1,2,16,64.0
2020,1,2,17,71.0
2020,1,2,18,77.0
2020,1,2,19,81.0
2020,1,2,20,98.0
2020,1,2,21,91.0
2020,1,2,22,81.0
2020,1,2,23,77.0
2020,1,3,0,74.0
2020,1,3,1,68.0
2020,1,3,2,62.0
2020,1,3,3,62.0
2020,1,3,4,48.0
2020,1,3,5,49.0
2020,1,3,6,48.0
2020,1,3,7,56.0
2020,1,3,8,53.0
2020,1,3,9,65.0
2020,1,3,10,70.0
2020,1,3,11,71.0
2020,1,3,12,73.0
2020,1,3,13,70.0
2020,1,3,14,72.0
2020,1,3,15,77.0
2020,1,3,16,82.0
2020,1,3,17,86.0
2020,1,3,18,88.0
2020,1,3,19,92.0
2020,1,3,20,96.0
2020,1,3,21,81.0
2020,1,3,22,71.0
2020,1,3,23,67.0
2020,1,4,0,55.0
2020,1,4,1,47.0
2020,1,4,2,43.0
2020,1,4,3,26.0
2020,1,4,4,25.0
2020,1,4,5,34.0
2020,1,4,6,38.0
2020,1,4,7,38.0
2020,1,4,8,50.0
2020,1,4,9,47.0
2020,1,4,10,47.0
2020,1,4,11,31.0
2020,1,4,12,28.0
2020,1,4,13,26.0
2020,1,4,14,28.0
2020,1,4,15,29.0
2020,1,4,16,32.0
2020,1,4,17,42.0
2020,1,4,18,55.0
2020,1,4,19,62.0
2020,1,4,20,68.0
2020,1,4,21,63.0
2020,1,4,22,54.0
2020,1,4,23,46.0
2020,1,5,0,50.0
2020,1,5,1,37.0
2020,1,5,2,35.0
2020,1,5,3,32.0
2020,1,5,4,44.0
2020,1,5,5,34.0
2020,1,5,6,36.0
2020,1,5,7,40.0
2020,1,5,8,46.0
2020,1,5,9,46.0
2020,1,5,10,42.0
2020,1,5,11,50.0
2020,1,5,12,57.0
2020,1,5,13,61.0
2020,1,5,14,61.0
2020,1,5,15,56.0
2020,1,5,16,58.0
2020,1,5,17,69.0
2020,1,5,18,73.0
2020,1,5,19,70.0
2020,1,5,20,66.0
2020,1,5,21,73.0
2020,1,5,22,89.0
2020,1,5,23,81.0
2020,1,6,0,67.0
2020,1,6,1,55.0
2020,1,6,2,50.0
2020,1,6,3,48.0
2020,1,6,4,47.0
2020,1,6,5,41.0
2020,1,6,6,42.0
2020,1,6,7,44.0
2020,1,6,8,43.0
2020,1,6,9,46.0
2020,1,6,10,52.0
2020,1,6,11,54.0
2020,1,6,12,60.0
2020,1,6,13,67.0
2020,1,6,14,56.0
2020,1,6,15,41.0
2020,1,6,16,47.0
2020,1,6,17,60.0
2020,1,6,18,71.0
2020,1,6,19,62.0
2020,1,6,20,62.0
2020,1,6,21,69.0
2020,1,6,22,82.0
2020,1,6,23,76.0
2020,1,7,0,61.0
2020,1,7,1,54.0
2020,1,7,2,48.0
2020,1,7,3,46.0
2020,1,7,4,42.0
2020,1,7,5,37.0
2020,1,7,6,40.0
2020,1,7,7,48.0
2020,1,7,8,55.0
2020,1,7,9,70.0
2020,1,7,10,80.0
2020,1,7,11,91.0
2020,1,7,12,95.0
2020,1,7,13,103.0
2020,1,7,14,88.0
2020,1,7,15,95.0
2020,1,7,16,95.0
2020,1,7,17,101.0
2020,1,7,18,102.0
2020,1,7,19,101.0
2020,1,7,20,91.0
2020,1,7,21,82.0
2020,1,7,22,94.0
2020,1,7,23,100.0
2020,1,8,0,94.0
2020,1,8,1,72.0
2020,1,8,2,60.0
2020,1,8,3,51.0
2020,1,8,4,51.0
2020,1,8,5,47.0
2020,1,8,6,44.0
2020,1,8,7,57.0
2020,1,8,8,72.0
2020,1,8,9,105.0
2020,1,8,10,105.0
2020,1,8,11,106.0
2020,1,8,12,106.0
2020,1,8,13,101.0
2020,1,8,14,79.0
2020,1,8,15,78.0
2020,1,8,16,87.0
2020,1,8,17,96.0
2020,1,8,18,98.0
2020,1,8,19,97.0
2020,1,8,20,138.0
